kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25DEC31BUFDAL-BUF,nhl-buf-dal-2025-12-31,2025-12-04T16:31:27.949411Z,yes,yes,1.0,1
KXNHLGAME-25SEP27DETBUF-DET,,,,no,,0
KXNHLGAME-25SEP27DETBUF-BUF,,,,yes,,0
KXNHLGAME-25OCT22DETBUF-DET,,,,no,,0
KXNHLGAME-25OCT22DETBUF-BUF,,,,yes,,0
KXNHLGAME-25NOV15BUFDET-DET,nhl-buf-det-2025-11-15,2025-10-19T15:31:16.134382Z,yes,no,1.0,0
KXNHLGAME-25NOV15BUFDET-BUF,nhl-buf-det-2025-11-15,2025-10-19T15:31:16.134382Z,yes,yes,1.0,1
KXNHLGAME-25NOV17EDMBUF-EDM,,,,no,,0
KXNHLGAME-25NOV17EDMBUF-BUF,,,,yes,,0
KXNHLGAME-25DEC09BUFEDM-EDM,,,,no,,0
KXNHLGAME-25DEC09BUFEDM-BUF,,,,yes,,0
KXNHLGAME-25OCT18FLABUF-FLA,,,,no,,0
KXNHLGAME-25OCT18FLABUF-BUF,,,,yes,,0
KXNHLGAME-26JAN12FLABUF-FLA,,,,yes,,0
KXNHLGAME-26JAN12FLABUF-BUF,,,,no,,0
KXNHLGAME-26FEB02BUFFLA-FLA,nhl-buf-fla-2026-02-02,2026-01-06T16:31:23.364733Z,yes,no,0.999,0
KXNHLGAME-26FEB02BUFFLA-BUF,nhl-buf-fla-2026-02-02,2026-01-06T16:31:23.364733Z,yes,yes,0.999,1
KXNHLGAME-26JAN29LABUF-LA,,,,no,,0
KXNHLGAME-26JAN29LABUF-BUF,,,,yes,,0
KXNHLGAME-25NOV29BUFMIN-MIN,nhl-buf-min-2025-11-29,2025-11-03T16:31:22.314344Z,yes,no,1.0,0
KXNHLGAME-25NOV29BUFMIN-BUF,nhl-buf-min-2025-11-29,2025-11-03T16:31:22.314344Z,yes,yes,1.0,1
KXNHLGAME-26JAN17MINBUF-MIN,,,,yes,,0
KXNHLGAME-26JAN17MINBUF-BUF,,,,no,,0
KXNHLGAME-25OCT20BUFMTL-MTL,nhl-buf-mon-2025-10-20,2025-10-07T22:11:48.539044Z,yes,yes,1.0,1
KXNHLGAME-25OCT20BUFMTL-BUF,nhl-buf-mon-2025-10-20,2025-10-07T22:11:48.539044Z,yes,no,1.0,0
KXNHLGAME-26JAN15MTLBUF-MTL,,,,no,,0
KXNHLGAME-26JAN15MTLBUF-BUF,,,,yes,,0
KXNHLGAME-26JAN22BUFMTL-MTL,nhl-buf-mon-2026-01-22,2025-12-26T16:31:07.087967Z,yes,no,0.999,0
KXNHLGAME-26JAN22BUFMTL-BUF,nhl-buf-mon-2026-01-22,2025-12-26T16:31:07.087967Z,yes,yes,0.999,1
KXNHLGAME-26JAN31MTLBUF-MTL,,,,yes,,0
KXNHLGAME-26JAN31MTLBUF-BUF,,,,no,,0
KXNHLGAME-25NOV28NJBUF-NJ,,,,yes,,0
KXNHLGAME-25NOV28NJBUF-BUF,,,,no,,0
