id,slug,startDate,lastTradePrice
653821,nhl-cbj-wsh-2025-11-24,2025-10-28T15:31:12.905313Z,1.0
653822,nhl-phi-tb-2025-11-24,2025-10-28T15:31:14.965447Z,1.0
653824,nhl-det-nj-2025-11-24,2025-10-28T15:31:17.835075Z,1.0
653825,nhl-fla-nsh-2025-11-24,2025-10-28T15:31:18.093569Z,1.0
636672,nhl-ana-col-2025-11-11,2025-10-15T15:31:14.286669Z,1.0
636673,nhl-cbj-sea-2025-11-11,2025-10-15T15:31:13.426908Z,1.0
637478,nhl-nyr-tb-2025-11-12,2025-10-16T15:32:00.710993Z,1.0
637479,nhl-edm-phi-2025-11-12,2025-10-16T15:32:00.407995Z,1.0
638297,nhl-bos-ott-2025-11-13,2025-10-17T15:31:15.419341Z,1.0
638298,nhl-dal-mon-2025-11-13,2025-10-17T15:31:15.677399Z,1.0
638299,nhl-ana-det-2025-11-13,2025-10-17T15:31:14.903935Z,1.0
638300,nhl-buf-col-2025-11-13,2025-10-17T15:31:16.898902Z,1.0
639096,nhl-phi-stl-2025-11-14,2025-10-18T15:31:21.977596Z,1.0
639738,nhl-ana-min-2025-11-15,2025-10-19T15:31:13.429615Z,1.0
639741,nhl-nj-wsh-2025-11-15,2025-10-19T15:31:15.876324Z,1.0
639743,nhl-bos-mon-2025-11-15,2025-10-19T15:31:15.360392Z,1.0
639745,nhl-buf-det-2025-11-15,2025-10-19T15:31:16.134382Z,1.0
640514,nhl-nsh-pit-2025-11-16,2025-10-20T15:31:01.514407Z,1.0
640517,nhl-det-nyr-2025-11-16,2025-10-20T15:31:22.411703Z,1.0
644500,nhl-stl-tor-2025-11-18,2025-10-22T15:31:19.55Z,1.0
644501,nhl-nj-tb-2025-11-18,2025-10-22T15:31:22.086Z,1.0
628676,nhl-stl-wsh-2025-11-05,2025-10-09T15:31:21.931169Z,1.0
628679,nhl-chi-van-2025-11-05,2025-10-09T15:31:32.917821Z,1.0
630048,nhl-mon-nj-2025-11-06,2025-10-10T15:31:27.705632Z,1.0
630053,nhl-ana-dal-2025-11-06,2025-10-10T15:31:34.784994Z,1.0
631748,nhl-min-nyi-2025-11-07,2025-10-11T15:31:14.05378Z,1.0
632531,nhl-ott-phi-2025-11-08,2025-10-12T15:31:28.758679Z,1.0
632532,nhl-dal-nsh-2025-11-08,2025-10-12T15:31:27.982453Z,1.0
632533,nhl-bos-tor-2025-11-08,2025-10-12T15:31:29.013634Z,1.0
632535,nhl-sea-stl-2025-11-08,2025-10-12T15:31:30.538259Z,1.0
632536,nhl-nyi-nyr-2025-11-08,2025-10-12T15:31:28.2371Z,1.0
632538,nhl-buf-car-2025-11-08,2025-10-12T15:31:30.030535Z,1.0
632540,nhl-cbj-van-2025-11-08,2025-10-12T15:31:30.284383Z,1.0
632541,nhl-fla-sj-2025-11-08,2025-10-12T15:31:30.996771Z,1.0
632542,nhl-col-edm-2025-11-08,2025-10-12T15:31:29.776671Z,1.0
633872,nhl-chi-det-2025-11-09,2025-10-13T15:32:13.98872Z,1.0
633874,nhl-car-tor-2025-11-09,2025-10-13T15:32:13.217012Z,1.0
633879,nhl-col-van-2025-11-09,2025-10-13T15:32:16.538235Z,1.0
635842,nhl-nsh-nyr-2025-11-10,2025-10-14T15:31:26.934353Z,1.0
635844,nhl-cbj-edm-2025-11-10,2025-10-14T15:31:27.1953Z,1.0
636666,nhl-dal-ott-2025-11-11,2025-10-15T15:31:12.001564Z,1.0
626942,nhl-nyr-van-2025-10-28,2025-10-07T22:13:58.335291Z,1.0
626943,nhl-mon-sea-2025-10-28,2025-10-07T22:14:06.525232Z,1.0
626946,nhl-dal-tb-2025-10-30,2025-10-07T22:14:08.83401Z,1.0
