kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25DEC31NYRWSH-WSH,nhl-nyr-wsh-2025-12-31,2025-12-04T16:31:25.182234Z,yes,yes,1.0,1
KXNHLGAME-25DEC30PHIVAN-PHI,nhl-phi-van-2025-12-30,2025-12-03T16:31:11.495584Z,yes,yes,1.0,1
KXNHLGAME-25DEC30NJTOR-TOR,nhl-nj-tor-2025-12-30,2025-12-03T16:31:09.65061Z,yes,yes,1.0,1
KXNHLGAME-25DEC30CARPIT-PIT,nhl-car-pit-2025-12-30,2025-12-03T16:31:12.732729Z,yes,yes,1.0,1
KXNHLGAME-25DEC29CBJOTT-CBJ,nhl-cbj-ott-2025-12-29,2025-12-02T16:31:20.959596Z,yes,yes,1.0,1
KXNHLGAME-25DEC29EDMWPG-EDM,nhl-edm-wpg-2025-12-29,2025-12-02T16:31:22.658829Z,yes,yes,1.0,1
KXNHLGAME-25DEC29BUFSTL-BUF,nhl-buf-stl-2025-12-29,2025-12-02T16:31:22.351451Z,yes,yes,1.0,1
KXNHLGAME-25DEC28PHISEA-SEA,nhl-phi-sea-2025-12-28,2025-12-01T16:31:27.240786Z,yes,yes,1.0,1
KXNHLGAME-25DEC28MTLTB-TB,nhl-mon-tb-2025-12-28,2025-12-01T16:31:13.496824Z,yes,yes,1.0,1
KXNHLGAME-25DEC27SJVAN-SJ,nhl-sj-van-2025-12-27,2025-11-30T16:31:36.654858Z,yes,yes,1.0,1
KXNHLGAME-25DEC27CHIDAL-CHI,nhl-chi-dal-2025-12-27,2025-11-30T16:31:32.916533Z,yes,yes,1.0,1
KXNHLGAME-25DEC27NSHSTL-STL,nhl-nsh-stl-2025-12-27,2025-11-30T16:31:34.982676Z,yes,yes,1.0,1
KXNHLGAME-25DEC27BOSBUF-BUF,nhl-bos-buf-2025-12-27,2025-11-30T16:31:35.239575Z,yes,yes,1.0,1
KXNHLGAME-25DEC27MINWPG-MIN,nhl-min-wpg-2025-12-27,2025-11-30T16:31:30.424447Z,yes,yes,1.0,1
KXNHLGAME-25DEC27OTTTOR-TOR,nhl-ott-tor-2025-12-27,2025-11-30T16:31:32.405409Z,yes,yes,1.0,1
KXNHLGAME-25DEC23BUFOTT-BUF,nhl-buf-ott-2025-12-23,2025-11-26T16:31:30.358098Z,yes,yes,1.0,1
KXNHLGAME-25DEC23NJNYI-NYI,nhl-nj-nyi-2025-12-23,2025-11-26T16:31:32.864498Z,yes,yes,1.0,1
